n,k1,k2,k3,c1,c2,c3,c4
1,2,3,4,625/3,-875/6,125/3,-25/6
1,2,4,5,195,-245/2,30,-5/2
1,2,5,6,560/3,-325/3,70/3,-5/3
1,2,6,7,3800/21,-2075/21,400/21,-25/21
1,2,7,8,2475/14,-2575/28,225/14,-25/28
1,2,8,9,3125/18,-3125/36,125/9,-25/36
1,2,9,10,1540/9,-745/9,110/9,-5/9
2,1,3,4,625/3,-875/6,125/3,-25/6
2,1,4,5,195,-245/2,30,-5/2
2,1,5,6,560/3,-325/3,70/3,-5/3
2,1,6,7,3800/21,-2075/21,400/21,-25/21
2,1,7,8,2475/14,-2575/28,225/14,-25/28
2,1,8,9,3125/18,-3125/36,125/9,-25/36
2,1,9,10,1540/9,-745/9,110/9,-5/9
2,3,4,5,1925/12,-1775/24,175/12,-25/24
2,3,5,6,1080/7,-65,80/7,-5/7
2,3,6,7,150,-2825/48,75/8,-25/48
2,3,7,8,9250/63,-3425/63,500/63,-25/63
2,3,8,9,1155/8,-815/16,55/8,-5/16
2,3,9,10,4700/33,-4775/99,200/33,-25/99
3,1,2,4,625/3,-875/6,125/3,-25/6
3,2,4,5,1925/12,-1775/24,175/12,-25/24
3,2,5,6,1080/7,-65,80/7,-5/7
3,2,6,7,150,-2825/48,75/8,-25/48
3,2,7,8,9250/63,-3425/63,500/63,-25/63
3,2,8,9,1155/8,-815/16,55/8,-5/16
3,2,9,10,4700/33,-4775/99,200/33,-25/99
3,4,5,6,285/2,-595/12,15/2,-5/12
3,4,6,7,1250/9,-3625/81,500/81,-25/81
3,4,7,8,2860/21,-865/21,110/21,-5/21
3,4,8,9,1475/11,-5075/132,50/11,-25/132
3,4,9,10,3575/27,-5875/162,325/81,-25/162
4,1,2,3,625/3,-875/6,125/3,-25/6
4,1,2,5,195,-245/2,30,-5/2
4,2,3,5,1925/12,-1775/24,175/12,-25/24
4,3,5,6,285/2,-595/12,15/2,-5/12
4,3,6,7,1250/9,-3625/81,500/81,-25/81
4,3,7,8,2860/21,-865/21,110/21,-5/21
4,3,8,9,1475/11,-5075/132,50/11,-25/132
4,3,9,10,3575/27,-5875/162,325/81,-25/162
4,5,6,7,1595/12,-895/24,55/12,-5/24
4,5,7,8,10050/77,-5275/154,300/77,-25/154
4,5,8,9,6175/48,-6125/192,325/96,-25/192
4,5,9,10,14875/117,-7025/234,350/117,-25/234
5,1,2,4,195,-245/2,30,-5/2
5,1,2,6,560/3,-325/3,70/3,-5/3
5,2,3,4,1925/12,-1775/24,175/12,-25/24
5,2,3,6,1080/7,-65,80/7,-5/7
5,3,4,6,285/2,-595/12,15/2,-5/12
5,4,6,7,1595/12,-895/24,55/12,-5/24
5,4,7,8,10050/77,-5275/154,300/77,-25/154
